ds,y,yhat_lower,yhat_upper
2025-09-29,84.62791273511975,82.69870834721657,86.55087699501317
2025-09-30,84.61194728199307,82.66179378532959,86.69504258577659
2025-10-01,84.76554197177968,82.76708029872451,86.80080073622533
2025-10-02,84.90597334645355,83.06738002686001,86.8677648628276
2025-10-03,84.98617667887186,82.97706374412046,86.91491622231007
2025-10-04,85.1513767608116,83.0490430723686,87.16800342071755
2025-10-05,85.29958587838445,83.47163057843578,87.33267576736206
2025-10-06,85.61324379433876,83.70683706260613,87.5946094039656
2025-10-07,85.6009182917763,83.66880724498854,87.61400721020296
2025-10-08,85.75605308319365,83.76331402497178,87.78502323753612
2025-10-09,85.88833584216808,83.83235791977297,87.79588574077336
2025-10-10,85.9509092091109,83.97909844409438,87.9782473353344
2025-10-11,86.09176706549543,84.29601091660261,88.02488931913415
2025-10-12,86.20318719853348,84.31873531181735,88.11900291593656
2025-10-13,86.44930132311185,84.57100234087733,88.48645469526839
2025-10-14,86.31834995004903,84.42378862445325,88.31238111496639
2025-10-15,86.3007824824459,84.40467063164901,88.29577222053481
2025-10-16,86.23322037230557,84.34024153514069,88.20669269675079
2025-10-17,86.11936611133403,84.1880868085289,87.85034807010956
2025-10-18,86.1580693052308,84.37762131318442,88.14150545774247
2025-10-19,86.26734119828258,84.42377019619829,87.99298345358736
2025-10-20,86.60065984447826,84.54385684140597,88.65879718440726
2025-10-21,86.60748556520343,84.65610384668007,88.47907186759677
2025-10-22,86.73122350207097,84.77081611464877,88.63677451168954
2025-10-23,86.77142946859288,84.84433208028472,88.75946980966249
2025-10-24,86.71341948600272,84.86880697230241,88.69498008986454
2025-10-25,86.75640168758427,84.70039358339017,88.6828274954601
2025-10-26,86.8339700080325,84.97689938465307,88.8495745580206
2025-10-27,87.12571855370302,85.28892091239064,89.08279463358278
2025-10-28,87.11027753894116,85.23376569406413,88.97481952568273
2025-10-29,87.25211500403394,85.37695259382728,89.18890916932699
2025-10-30,87.35318922809192,85.23061951935634,89.29391576407899
2025-10-31,87.38045932506073,85.40445546794332,89.22864289632632
2025-11-01,87.5043068818362,85.51675718820727,89.43704452303399
2025-11-02,87.6362686882969,85.71894254334859,89.64225823938911
2025-11-03,87.95279571673174,86.04639308922853,89.93119671307281
2025-11-04,87.78006036660271,85.7060064631174,89.63149377811712
2025-11-05,88.00300252548347,86.04471692806003,89.95215565612546
2025-11-06,88.09723850684206,86.23666122892864,90.05260304320954
2025-11-07,88.15999089807525,86.32095185361301,90.09177675653591
2025-11-08,88.29634293813328,86.30814039479563,90.28558625989074
2025-11-09,88.43661557666387,86.55611399786766,90.3325278000119
2025-11-10,88.7507230930248,86.84925327154752,90.68057054927783
2025-11-11,88.73463922367986,86.77225013716709,90.71056989610176
2025-11-12,88.85613522183384,87.13179083270562,90.77075616641018
2025-11-13,88.90331614967194,86.94175140287213,90.8120213016382
2025-11-14,88.82299547595545,86.88063459120093,90.7592895465617
2025-11-15,88.78718339793014,86.75014876569011,90.51468216457616
2025-11-16,88.74428044821278,86.78338845147734,90.72089204298857
2025-11-17,88.92756515779818,86.93830960349918,90.90144494825022
2025-11-18,88.87004514556217,86.80044217767377,90.74885520068776
2025-11-19,89.04864167919152,86.98253948037737,90.83150572046311
2025-11-20,89.22398668145631,87.26856492922495,91.19056752673423
2025-11-21,89.29750535319673,87.39795222205404,91.28823467056229
2025-11-22,89.3972317539157,87.59372888723743,91.27870016310382
2025-11-23,89.44339310375729,87.44098581883743,91.36298453397409
2025-11-24,89.66052304922886,87.6886020372243,91.59593018862705
2025-11-25,89.59007880697538,87.61449040068601,91.48039412526407
2025-11-26,89.73050302380246,87.80544017554475,91.75350426074179
2025-11-27,89.87124824888393,87.93456229606352,91.82632198579715
2025-11-28,89.94037484640317,88.07042116660416,91.82523328826238
2025-11-29,90.07862012160886,88.27299111283924,91.98669539533576
2025-11-30,90.19772515524585,88.27482537545161,92.16986385530011
2025-12-01,90.49668775931616,88.61904952966157,92.42696831822848
2025-12-02,90.48940913298765,88.66259943381071,92.30367875423279
2025-12-03,90.6610276325914,88.78675657052857,92.61856867401198
2025-12-04,90.80758569039216,88.93295966529222,92.66858968439982
2025-12-05,90.87483497057931,89.03618086340755,92.83308806209352
2025-12-06,91.01695833626421,88.93546068082092,92.90571370564162
2025-12-07,91.14590978737554,89.2198877061126,93.23378970875291
2025-12-08,91.45149627978418,89.59489006802451,93.38776528508211
2025-12-09,91.44003252917551,89.57773650691712,93.47205027475167
2025-12-10,91.59687483977584,89.65589893476702,93.42247014274874
2025-12-11,91.72084403485916,89.8996103646304,93.64639412034494
2025-12-12,91.7519719064371,89.91178641319286,93.50484608066641
2025-12-13,91.82614903662981,89.86133430503519,93.76256434842756
2025-12-14,91.83502416503093,89.80963400361298,93.7230113508939
2025-12-15,91.96543149268129,89.99209892174304,93.95506995912939
2025-12-16,91.75064543729046,89.75474935909818,93.64247849622794
2025-12-17,91.72661887558453,89.68616299999385,93.78621599704935
2025-12-18,91.74306578787906,89.94042450079334,93.69778481550982
2025-12-19,91.7657949311292,89.77560635977012,93.8388143028458
2025-12-20,91.92008714526662,90.02407116204316,93.94218235893716
2025-12-21,92.05885889738296,90.05351747020367,94.0502042510231
2025-12-22,92.321943906458,90.36099272815183,94.1893719154292
2025-12-23,92.20559438811202,90.2251083770408,94.05771457239113
2025-12-24,92.22742617255895,90.38378112389874,94.1440788496133
2025-12-25,92.2375582951547,90.34281680097338,94.22348998659294
2025-12-26,92.21743341967733,90.40612706357173,94.21044231589516
2025-12-27,92.31850092300814,90.4322912984191,94.24478152865404
2025-12-28,92.42290558398632,90.54732657174084,94.2970191333921
2025-12-29,92.69159956711201,90.61612494771238,94.56095186172281
2025-12-30,92.62329203700507,90.72705265446989,94.6036041635382
2025-12-31,92.71729950382914,90.75147311978118,94.66530125942683
2026-01-01,92.83468247981114,90.83884528446794,94.83628706281269
2026-01-02,92.87834245152185,91.02306296558679,94.58342660987742
2026-01-03,93.01970553978585,91.24038374263408,94.88670931721724
